Input1,IMG1,Input2,IMG2,Gap,Situation,Note
5P,<img src='5P.png'></img>,5P,<img src='5P.png'></img>,-6f,Ground Gatling,
5P,<img src='5P.png'></img>,5K,<img src='5K.png'></img>,8f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,cS,<img src='cS.png'></img>,9f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,fS,<img src='fS.png'></img>,11f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,5H,<img src='5H.png'></img>,13f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,2P,<img src='2P.png'></img>,-4f,Ground Gatling,
5P,<img src='5P.png'></img>,2K,<img src='2K.png'></img>,7f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,2S,<img src='2S.png'></img>,12f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,2H,<img src='2H.png'></img>,14f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,jP,<img src='jP.png'></img>,11f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,jK,<img src='jK.png'></img>,12f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,jS,<img src='jS.png'></img>,15f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,jH,<img src='jH.png'></img>,14f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,jD,<img src='jD.png'></img>,14f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,6P,<img src='6P.png'></img>,0f,Ground Gatling,
5P,<img src='5P.png'></img>,6K,<img src='6K.png'></img>,11f,Ground Gatling,
5P,<img src='5P.png'></img>,6H,<img src='6H.png'></img>,8f,Ground Gatling,
5P,<img src='5P.png'></img>,j2K,<img src='j2K.png'></img>,22f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,2D,<img src='2D.png'></img>,12f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,5D,<img src='5D.png'></img>,22f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,5[D],<img src='5[D].png'></img>,30f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,236P,<img src='236P.png'></img>,20f,Ground Gatling,
5P,<img src='5P.png'></img>,j236P,<img src='j236P.png'></img>,35f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,236K,<img src='236K.png'></img>,18f,Ground Gatling,
5P,<img src='5P.png'></img>,j236K,<img src='j236K.png'></img>,38f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,623S,<img src='623S.png'></img>,0f,Ground Gatling,
5P,<img src='5P.png'></img>,j623S,<img src='j623S.png'></img>,15f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,236H,<img src='236H.png'></img>,16f,Ground Gatling,
5P,<img src='5P.png'></img>,236S,<img src='236S.png'></img>,4f,Ground Gatling,
5P,<img src='5P.png'></img>,236S-236S,<img src='236S-236S.png'></img>,10f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,236S-236K,<img src='236S-236K.png'></img>,22f,Ground Non-Gatling,
5P,<img src='5P.png'></img>,63214S,<img src='63214S.png'></img>,18f,Ground Gatling,
5P,<img src='5P.png'></img>,j214P,<img src='j214P.png'></img>,28f,Ground Non-Jump Cancel,
5P,<img src='5P.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Ground Gatling,
5P,<img src='5P.png'></img>,632146H,<img src='632146H.png'></img>,12f,Ground Gatling,
5P,<img src='5P.png'></img>,j632146H,<img src='j632146H.png'></img>,20f,Ground Non-Jump Cancel,
5K,<img src='5K.png'></img>,5P,<img src='5P.png'></img>,6f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,5K,<img src='5K.png'></img>,-3f,Ground Gatling,
5K,<img src='5K.png'></img>,cS,<img src='cS.png'></img>,10f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,fS,<img src='fS.png'></img>,12f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,5H,<img src='5H.png'></img>,14f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,2P,<img src='2P.png'></img>,8f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,2K,<img src='2K.png'></img>,-4f,Ground Gatling,
5K,<img src='5K.png'></img>,2S,<img src='2S.png'></img>,13f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,2H,<img src='2H.png'></img>,15f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,jP,<img src='jP.png'></img>,0f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,jK,<img src='jK.png'></img>,1f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,jS,<img src='jS.png'></img>,4f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,jH,<img src='jH.png'></img>,3f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,jD,<img src='jD.png'></img>,3f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,6P,<img src='6P.png'></img>,0f,Ground Gatling,
5K,<img src='5K.png'></img>,6K,<img src='6K.png'></img>,11f,Ground Gatling,
5K,<img src='5K.png'></img>,6H,<img src='6H.png'></img>,8f,Ground Gatling,
5K,<img src='5K.png'></img>,j2K,<img src='j2K.png'></img>,11f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,2D,<img src='2D.png'></img>,1f,Ground Gatling,
5K,<img src='5K.png'></img>,5D,<img src='5D.png'></img>,11f,Ground Gatling,
5K,<img src='5K.png'></img>,5[D],<img src='5[D].png'></img>,19f,Ground Gatling,
5K,<img src='5K.png'></img>,236P,<img src='236P.png'></img>,20f,Ground Gatling,
5K,<img src='5K.png'></img>,j236P,<img src='j236P.png'></img>,24f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,236K,<img src='236K.png'></img>,18f,Ground Gatling,
5K,<img src='5K.png'></img>,j236K,<img src='j236K.png'></img>,27f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,623S,<img src='623S.png'></img>,0f,Ground Gatling,
5K,<img src='5K.png'></img>,j623S,<img src='j623S.png'></img>,4f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,236H,<img src='236H.png'></img>,16f,Ground Gatling,
5K,<img src='5K.png'></img>,236S,<img src='236S.png'></img>,4f,Ground Gatling,
5K,<img src='5K.png'></img>,236S-236S,<img src='236S-236S.png'></img>,11f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,236S-236K,<img src='236S-236K.png'></img>,23f,Ground Non-Gatling,
5K,<img src='5K.png'></img>,63214S,<img src='63214S.png'></img>,18f,Ground Gatling,
5K,<img src='5K.png'></img>,j214P,<img src='j214P.png'></img>,17f,Ground Jump Cancel,
5K,<img src='5K.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Ground Gatling,
5K,<img src='5K.png'></img>,632146H,<img src='632146H.png'></img>,12f,Ground Gatling,
5K,<img src='5K.png'></img>,j632146H,<img src='j632146H.png'></img>,9f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,5P,<img src='5P.png'></img>,2f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,5K,<img src='5K.png'></img>,5f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,cS,<img src='cS.png'></img>,6f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,fS,<img src='fS.png'></img>,-7f,Ground Gatling,
cS,<img src='cS.png'></img>,5H,<img src='5H.png'></img>,-5f,Ground Gatling,
cS,<img src='cS.png'></img>,2P,<img src='2P.png'></img>,4f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,2K,<img src='2K.png'></img>,4f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,2S,<img src='2S.png'></img>,-6f,Ground Gatling,
cS,<img src='cS.png'></img>,2H,<img src='2H.png'></img>,-4f,Ground Gatling,
cS,<img src='cS.png'></img>,jP,<img src='jP.png'></img>,-7f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,jK,<img src='jK.png'></img>,-6f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,jS,<img src='jS.png'></img>,-3f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,jH,<img src='jH.png'></img>,-4f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,jD,<img src='jD.png'></img>,-4f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,6P,<img src='6P.png'></img>,-7f,Ground Gatling,
cS,<img src='cS.png'></img>,6K,<img src='6K.png'></img>,4f,Ground Gatling,
cS,<img src='cS.png'></img>,6H,<img src='6H.png'></img>,1f,Ground Gatling,
cS,<img src='cS.png'></img>,j2K,<img src='j2K.png'></img>,4f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,2D,<img src='2D.png'></img>,-6f,Ground Gatling,
cS,<img src='cS.png'></img>,5D,<img src='5D.png'></img>,4f,Ground Gatling,
cS,<img src='cS.png'></img>,5[D],<img src='5[D].png'></img>,12f,Ground Gatling,
cS,<img src='cS.png'></img>,236P,<img src='236P.png'></img>,13f,Ground Gatling,
cS,<img src='cS.png'></img>,j236P,<img src='j236P.png'></img>,17f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,236K,<img src='236K.png'></img>,11f,Ground Gatling,
cS,<img src='cS.png'></img>,j236K,<img src='j236K.png'></img>,20f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,623S,<img src='623S.png'></img>,-7f,Ground Gatling,
cS,<img src='cS.png'></img>,j623S,<img src='j623S.png'></img>,-3f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,236H,<img src='236H.png'></img>,9f,Ground Gatling,
cS,<img src='cS.png'></img>,236S,<img src='236S.png'></img>,-3f,Ground Gatling,
cS,<img src='cS.png'></img>,236S-236S,<img src='236S-236S.png'></img>,7f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,236S-236K,<img src='236S-236K.png'></img>,19f,Ground Non-Gatling,
cS,<img src='cS.png'></img>,63214S,<img src='63214S.png'></img>,11f,Ground Gatling,
cS,<img src='cS.png'></img>,j214P,<img src='j214P.png'></img>,10f,Ground Jump Cancel,
cS,<img src='cS.png'></img>,236236P,<img src='236236P.png'></img>,-9f,Ground Gatling,
cS,<img src='cS.png'></img>,632146H,<img src='632146H.png'></img>,5f,Ground Gatling,
cS,<img src='cS.png'></img>,j632146H,<img src='j632146H.png'></img>,2f,Ground Jump Cancel,
fS,<img src='fS.png'></img>,5P,<img src='5P.png'></img>,11f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,5K,<img src='5K.png'></img>,14f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,cS,<img src='cS.png'></img>,15f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,fS,<img src='fS.png'></img>,17f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,5H,<img src='5H.png'></img>,-2f,Ground Gatling,
fS,<img src='fS.png'></img>,2P,<img src='2P.png'></img>,13f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,2K,<img src='2K.png'></img>,13f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,2S,<img src='2S.png'></img>,18f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,2H,<img src='2H.png'></img>,-1f,Ground Gatling,
fS,<img src='fS.png'></img>,jP,<img src='jP.png'></img>,17f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,jK,<img src='jK.png'></img>,18f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,jS,<img src='jS.png'></img>,21f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,jH,<img src='jH.png'></img>,20f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,jD,<img src='jD.png'></img>,20f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,6P,<img src='6P.png'></img>,17f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,6K,<img src='6K.png'></img>,28f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,6H,<img src='6H.png'></img>,25f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,j2K,<img src='j2K.png'></img>,28f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,2D,<img src='2D.png'></img>,18f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,5D,<img src='5D.png'></img>,28f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,5[D],<img src='5[D].png'></img>,36f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,236P,<img src='236P.png'></img>,16f,Ground Gatling,
fS,<img src='fS.png'></img>,j236P,<img src='j236P.png'></img>,41f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,236K,<img src='236K.png'></img>,14f,Ground Gatling,
fS,<img src='fS.png'></img>,j236K,<img src='j236K.png'></img>,44f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,623S,<img src='623S.png'></img>,-4f,Ground Gatling,
fS,<img src='fS.png'></img>,j623S,<img src='j623S.png'></img>,21f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,236H,<img src='236H.png'></img>,12f,Ground Gatling,
fS,<img src='fS.png'></img>,236S,<img src='236S.png'></img>,0f,Ground Gatling,
fS,<img src='fS.png'></img>,236S-236S,<img src='236S-236S.png'></img>,16f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,236S-236K,<img src='236S-236K.png'></img>,28f,Ground Non-Gatling,
fS,<img src='fS.png'></img>,63214S,<img src='63214S.png'></img>,14f,Ground Gatling,
fS,<img src='fS.png'></img>,j214P,<img src='j214P.png'></img>,34f,Ground Non-Jump Cancel,
fS,<img src='fS.png'></img>,236236P,<img src='236236P.png'></img>,-6f,Ground Gatling,
fS,<img src='fS.png'></img>,632146H,<img src='632146H.png'></img>,8f,Ground Gatling,
fS,<img src='fS.png'></img>,j632146H,<img src='j632146H.png'></img>,26f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,5P,<img src='5P.png'></img>,7f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,5K,<img src='5K.png'></img>,10f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,cS,<img src='cS.png'></img>,11f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,fS,<img src='fS.png'></img>,13f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,5H,<img src='5H.png'></img>,15f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,2P,<img src='2P.png'></img>,9f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,2K,<img src='2K.png'></img>,9f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,2S,<img src='2S.png'></img>,14f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,2H,<img src='2H.png'></img>,16f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,jP,<img src='jP.png'></img>,13f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,jK,<img src='jK.png'></img>,14f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,jS,<img src='jS.png'></img>,17f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,jH,<img src='jH.png'></img>,16f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,jD,<img src='jD.png'></img>,16f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,6P,<img src='6P.png'></img>,13f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,6K,<img src='6K.png'></img>,24f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,6H,<img src='6H.png'></img>,21f,Ground Non-Gatling,
