Input1,IMG1,Input2,IMG2,Gap,Situation,Note
5P,<img src='5P.png'></img>,5P,<img src='5P.png'></img>,-4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,5K,<img src='5K.png'></img>,8f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,cS,<img src='cS.png'></img>,8f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,fS,<img src='fS.png'></img>,13f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,5H,<img src='5H.png'></img>,15f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2P,<img src='2P.png'></img>,-4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,2K,<img src='2K.png'></img>,7f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2S,<img src='2S.png'></img>,11f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2H,<img src='2H.png'></img>,12f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,jP,<img src='jP.png'></img>,11f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jK,<img src='jK.png'></img>,12f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jS,<img src='jS.png'></img>,12f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jH,<img src='jH.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jD,<img src='jD.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,6P,<img src='6P.png'></img>,0f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,6K,<img src='6K.png'></img>,16f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,6H,<img src='6H.png'></img>,6f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,2D,<img src='2D.png'></img>,11f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,5D,<img src='5D.png'></img>,21f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,5[D],<img src='5[D].png'></img>,29f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,236S,<img src='236S.png'></img>,4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-236S,<img src='DI-236S.png'></img>,4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,236H,<img src='236H.png'></img>,30f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,SS-236H,<img src='SS-236H.png'></img>,30f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-236H,<img src='DI-236H.png'></img>,40f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,j236S,<img src='j236S.png'></img>,26f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,j236H,<img src='j236H.png'></img>,26f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,623S,<img src='623S.png'></img>,2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-623S,<img src='DI-623S.png'></img>,2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,623H,<img src='623H.png'></img>,4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-623H,<img src='DI-623H.png'></img>,4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,j623S,<img src='j623S.png'></img>,16f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,j623H,<img src='j623H.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,236K,<img src='236K.png'></img>,6f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-4f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,214K,<img src='214K.png'></img>,15f,Ground Gatling,The gap is +2f bigger when crouching <br> 
5P,<img src='5P.png'></img>,SS-214K,<img src='SS-214K.png'></img>,15f,Ground Gatling,The gap is +2f bigger when crouching <br> 
5P,<img src='5P.png'></img>,DI-214K,<img src='DI-214K.png'></img>,15f,Ground Gatling,The gap is +2f bigger when crouching <br> 
5P,<img src='5P.png'></img>,214S,<img src='214S.png'></img>,5f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,SS-214S,<img src='SS-214S.png'></img>,5f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-214S,<img src='DI-214S.png'></img>,5f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,632146H,<img src='632146H.png'></img>,0f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,0f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,j632146H,<img src='j632146H.png'></img>,14f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,214214H,<img src='214214H.png'></img>,3f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,5P,<img src='5P.png'></img>,7f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,5K,<img src='5K.png'></img>,9f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,cS,<img src='cS.png'></img>,9f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,fS,<img src='fS.png'></img>,14f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,5H,<img src='5H.png'></img>,16f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,2P,<img src='2P.png'></img>,7f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,2K,<img src='2K.png'></img>,8f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,2S,<img src='2S.png'></img>,12f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,2H,<img src='2H.png'></img>,13f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,jP,<img src='jP.png'></img>,-1f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,jK,<img src='jK.png'></img>,0f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,jS,<img src='jS.png'></img>,0f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,jH,<img src='jH.png'></img>,6f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,jD,<img src='jD.png'></img>,6f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,6P,<img src='6P.png'></img>,-2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,6K,<img src='6K.png'></img>,14f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,6H,<img src='6H.png'></img>,4f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,2D,<img src='2D.png'></img>,-1f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,5D,<img src='5D.png'></img>,9f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,5[D],<img src='5[D].png'></img>,17f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,236S,<img src='236S.png'></img>,2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-236S,<img src='DI-236S.png'></img>,2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,236H,<img src='236H.png'></img>,28f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,SS-236H,<img src='SS-236H.png'></img>,28f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-236H,<img src='DI-236H.png'></img>,41f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,j236S,<img src='j236S.png'></img>,14f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,j236H,<img src='j236H.png'></img>,14f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,623S,<img src='623S.png'></img>,0f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-623S,<img src='DI-623S.png'></img>,0f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,623H,<img src='623H.png'></img>,2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-623H,<img src='DI-623H.png'></img>,2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,j623S,<img src='j623S.png'></img>,4f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,j623H,<img src='j623H.png'></img>,6f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,236K,<img src='236K.png'></img>,7f,Ground Non-Gatling,nan <br> 
5K,<img src='5K.png'></img>,SS-236K,<img src='SS-236K.png'></img>,-6f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-236K,<img src='DI-236K.png'></img>,-6f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,214K,<img src='214K.png'></img>,13f,Ground Gatling,The gap is +2f bigger when crouching <br> 
5K,<img src='5K.png'></img>,SS-214K,<img src='SS-214K.png'></img>,13f,Ground Gatling,The gap is +2f bigger when crouching <br> 
5K,<img src='5K.png'></img>,DI-214K,<img src='DI-214K.png'></img>,13f,Ground Gatling,The gap is +2f bigger when crouching <br> 
5K,<img src='5K.png'></img>,214S,<img src='214S.png'></img>,3f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,SS-214S,<img src='SS-214S.png'></img>,3f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-214S,<img src='DI-214S.png'></img>,3f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,632146H,<img src='632146H.png'></img>,-2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,-2f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,j632146H,<img src='j632146H.png'></img>,2f,Ground Jump Cancel,nan <br> 
5K,<img src='5K.png'></img>,236236P,<img src='236236P.png'></img>,-4f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,-4f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,-4f,Ground Gatling,nan <br> 
5K,<img src='5K.png'></img>,214214H,<img src='214214H.png'></img>,1f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,5P,<img src='5P.png'></img>,4f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,5K,<img src='5K.png'></img>,6f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,cS,<img src='cS.png'></img>,6f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,fS,<img src='fS.png'></img>,-4f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,5H,<img src='5H.png'></img>,-2f,Ground Gatling,nan <br> 
