Input1,IMG1,Input2,IMG2,Gap,Situation,Note
5P,<img src='5P.png'></img>,5P,<img src='5P.png'></img>,-7f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,5K,<img src='5K.png'></img>,5f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,cS,<img src='cS.png'></img>,9f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,fS,<img src='fS.png'></img>,12f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,5H,<img src='5H.png'></img>,13f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2P,<img src='2P.png'></img>,-6f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,2K,<img src='2K.png'></img>,8f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2S,<img src='2S.png'></img>,12f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2H,<img src='2H.png'></img>,13f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,jP,<img src='jP.png'></img>,11f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jK,<img src='jK.png'></img>,12f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jS,<img src='jS.png'></img>,16f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jH,<img src='jH.png'></img>,17f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,jD,<img src='jD.png'></img>,15f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,6P,<img src='6P.png'></img>,-2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,6S,<img src='6S.png'></img>,17f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,6H,<img src='6H.png'></img>,11f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,2D,<img src='2D.png'></img>,12f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,5D,<img src='5D.png'></img>,22f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,5[D],<img src='5[D].png'></img>,30f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,236P,<img src='236P.png'></img>,7f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,623S,<img src='623S.png'></img>,-2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,623H,<img src='623H.png'></img>,2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,j623S,<img src='j623S.png'></img>,15f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,j623H,<img src='j623H.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,236K,<img src='236K.png'></img>,1f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,j236K,<img src='j236K.png'></img>,16f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,214K,<img src='214K.png'></img>,19f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,j214K,<img src='j214K.png'></img>,28f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,j214[K],<img src='j214[K].png'></img>,36f,Ground Non-Jump Cancel,nan <br> 
5P,<img src='5P.png'></img>,623K,<img src='623K.png'></img>,-5f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,214S,<img src='214S.png'></img>,17f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,214[S],<img src='214[S].png'></img>,34f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,41236H,<img src='41236H.png'></img>,26f,Ground Non-Gatling,nan <br> 
5P,<img src='5P.png'></img>,632146H,<img src='632146H.png'></img>,-2f,Ground Gatling,nan <br> 
5P,<img src='5P.png'></img>,214214H,<img src='214214H.png'></img>,22f,Ground Non-Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,jP,<img src='jP.png'></img>,0f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,jK,<img src='jK.png'></img>,1f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,jS,<img src='jS.png'></img>,5f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,jH,<img src='jH.png'></img>,6f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,jD,<img src='jD.png'></img>,4f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,6P,<img src='6P.png'></img>,0f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,6S,<img src='6S.png'></img>,6f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,6H,<img src='6H.png'></img>,0f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,2D,<img src='2D.png'></img>,1f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,5D,<img src='5D.png'></img>,11f,Ground Gatling,nan <br> 
